127.0.0.1 - - [20/Jun/2023:09:45:52 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:45:52 +0900] "GET /01_HTML/day02/Ex01_link.html HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:45:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:48:31 +0900] "GET /01_HTML/day02/Ex01_link.html HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:51:58 +0900] "GET /01_HTML/day02/Ex01_link.html HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:00:09 +0900] "GET /01_HTML/day02/Ex01_link.html HTTP/1.1" 200 1153
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:00:11 +0900] "GET /01_HTML/day01/Ex06_Colors.html HTTP/1.1" 200 3956
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:00:15 +0900] "GET /01_html/day01/Ex06_Colors.html HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:00:33 +0900] "GET /01_html/day01/Ex06_Colors.html HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:00:36 +0900] "GET /01_HTML/day02/Ex01_link.html HTTP/1.1" 200 1153
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:01:35 +0900] "GET /01_HTML/day02/Ex01_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:08:02 +0900] "GET /01_HTML/day02/Ex01_link.html HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:09:04 +0900] "GET /01_HTML/day02/Ex01_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:09:44 +0900] "GET /01_HTML/day02/Ex01_link.html HTTP/1.1" 200 2032
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:12:03 +0900] "GET /01_HTML/day02/Ex01_link.html HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:12:25 +0900] "GET /01_HTML/day02/Ex01_link.html HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:22:43 +0900] "GET /01_HTML/day02/Ex01_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:22:51 +0900] "GET /01_HTML/day02/Ex02_aTag_Attr.html HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:24:15 +0900] "GET /01_HTML/day02/Ex02_aTag_Attr.html HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:24:54 +0900] "GET /01_HTML/day02/Ex02_aTag_Attr.html HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:41:20 +0900] "GET /01_HTML/day02/Ex03_atagButton.html HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:42:00 +0900] "GET /01_HTML/day02/Ex03_atagButton.html HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [20/Jun/2023:10:48:53 +0900] "GET /01_HTML/day02/Ex03_atagButton.html HTTP/1.1" 200 740
